"","alpha","Bw3","Bw4","Bw5","Bw6","Afw","Afp","Mw","Liver","Kidney","Spleen"
"A",0.63,2.06373532247810,2.04813043425195,2.07513300865592,1.97953336075430,2.00783252936123,2.08318825285536,2.07896248371082,1.99741933106227,2.00904075413157,2.07813566317258
"A",0.1,2.98204075339866,3.35094771974154,3.25482679849278,3.22768075356796,3.15941573608786,3.12704799036335,2.96557058560481,3.08644666467861,2.96160366782685,2.98538822438479
"A",0.05,3.07943783308132,3.55742514255765,3.64617982637122,3.37415905682944,3.79554850010742,3.25435301070306,3.1614903732842,3.41641767965955,3.2131326375503,3.20793694665537
"X",0.63,2.16694625495958,2.27685389301065,2.31864395969648,2.25816527600233,2.18488278801405,2.26070934853639,2.37376216591871,2.18649264622920,2.21722701688506,2.23164897042898
"X",0.1,3.23244698727378,3.34181620022351,3.46051058397622,3.09490500996858,3.20232450138266,3.28010894087792,3.38832741157071,3.30923807047095,3.14626504605174,3.0936564892172
"X",0.05,3.62821443932299,3.60837268627122,3.93001534453847,3.18336336186724,3.44865827257513,3.86049264569133,3.77714670491908,3.54708935460138,3.24562662278841,3.55809965887549
